Media,Judul,Tanggal,Reporter,Isi
kanalinspirasi.com,"h1[class=""article-title""]","div[class=""article-date""]","a[class=""author-name""]","main[class=""detail-content""]"
brilio.net,"h1[class=""single-title clearfix""]",time,span.entry-author,div.entry-content.clearfix
dream.co.id,,,,
antaranews.com,h1,span.text-secondary.font-weight-normal,p.text-muted.mt-2.small,div.wrap__article-detail-content.post-content
kumparan.com,h1,p.tanggal-single,p.nama-penulis,div.single-article-text
en.tempo.co,h1.title.margin-bottom-sm,p.date.margin-bottom-sm,p.title.bold,div.detail-in
medcom.id,h1,div.info_ct,div.info_ct,div#articleBody.text
krakatoa.id,h1.entry-title,time.entry-date.published,div.gmr-cf-metacontent.heading-text.meta-content,div.entry-content.entry-content-single
msn.com,h1.viewsHeaderText,,span.authorName,
wartaekonomi.co.id,h1.fs-4.fw-bold.mb-3,time.d-inline-block.fs-9.fw-bold.mb-3.text-muted,div.articlePostAuthor.mb-4,div.articlePostContent.clearfix.lh-lg.mb-4
beritabaru.news,,,,
travel.detik.com,h1.detail__title,div.detail__date,div.detail__author,div.detail__body-text.itp_bodycontent
urbanasia.com,h1,"div[class=""adh-a""]",span.penulis.text-orange,div#konten.body-content
timurpos.co.id,h1.entry-title,time.entry-date.published.updated,,div.entry-content.entry-content-single
RRI Pro 1 - Banten,,,,
e27.co,,,,
kriminologi.id,,,,
postfed.online,,,,
breakingnews.co.id,,,,
cnnindonesia.com,,,,
xcloud.id,,,,
portalbangkabelitung.pikiran-rakyat.com,,,,
cermati.com,,,,
satuviral.com,,,,
kupasonline.com,,,,
jurnalaceh.pikiran-rakyat.com,,,,
herstory.co.id,,,,
klaten.pikiran-rakyat.com,,,,
cianjur.jabarekspres.com,,,,
bandarlampungpost.com,h1.f50.black2.f400.crimson,"div[class=""grey bdr3 pb10 pt10""] time span",div.credit b,"div[class=""side-article txt-article multi-fontsize""]"
hostara.web.id,,,,
portal-rakyat.com,,,,
kompas.com,,,,
harapanrakyat.com,,,,
uzone.id,,,,
bengkuluekspress.disway.id,,,,
pontianak.tribunnews.com,-,-,-,-
vnexplorer.net,,,,
solopos.com,,,,
arenagadget.id,,,,
tabloidpulsa.id,,,,
tribunnews.com,,,,
idxchannel.com,,,,
akurat.co,,,,
paradiksi.com,,,,
droidlime.com,,,,
bacamalang.com,,,,
gadgetsquad.id,,,,
celebrities.id,,,,
detik.com,,,,
autofun.co.id,,,,
sidaknews.com,,,,
kabarproperti.id,,,,
vakansi.co,,,,
bisnisasia.co.id,,,,
nova.grid.id,,,,
athome.id,,,,
kabarindo.com,,,,
baliekbis.com,,,,
gramediapost.com,,,,
journeyofindonesia.com,,,,
dailyhotels.id,,,,
idntimes.com,,,,
jabarekspres.com,,,,
komitmen.id,,,,
ayotekno.id,,,,
immaku.com,,,,
liputan6.com,,,,
lampungnesia.com,,,,
radarutama.com,,,,
redaksiharian.com,,,,
detikfakta.com,,,,
wartabeta.com,,,,
tanhananews.com,,,,
